Agent,Mean_Diff,Pct_Improvement,t_statistic,p_value,cohens_d,effect_size,significant_bonferroni,significant_uncorrected
dqn,386804.8825566885,19.800205253091875,11.191356482664602,3.6416742224644367e-06,7.078035318422168,large,True,True
age_based,130302.01400446217,6.670046678641617,3.9833590840393995,0.004042662754749814,2.519297488777314,large,False,True
equal_weight,77844.99819599348,3.9848176993509066,2.4860876298918924,0.037751729847590294,1.572339874645617,large,True,True
markowitz,55860.14794410765,2.859432351139768,1.8278827770648682,0.10497707547331094,1.1560545742637545,large,False,False
ppo,-170804.04696770874,-8.743310492012036,-5.805199448965786,0.0004027694353079374,-3.6715305060572585,large,True,True
debt_avalanche,-802250.4623440355,-41.06650286781672,-30.667621390141683,1.388460911863055e-09,-19.395906802509398,large,True,True
